"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"125","CrossesMhPc",-0.302449626079248,1.1166895701059,-0.27084485623929,0.786752212883113,"F3","Trehalose","HSD","female","Maternal",0.875948854118207," ",0.999986154515138," "
"126","CrossesMcPh",-0.988313244539927,1.11463985553477,-0.88666598420327,0.376180916504147,"F3","Trehalose","HSD","female","Paternal",0.606849710343192," ",0.746749817555846," "
"127","CrossesMhPh",0.830248777069037,0.59684539116712,1.39106172110251,0.16589567638646,"F1","Glucose","HSD","female","Parental",0.354296218598956," ",0.427916212074064," "
"128","CrossesMhPc",-1.07886449673794,0.60060613110362,-1.79629284628765,0.0740973957925663,"F1","Glucose","HSD","female","Maternal",0.193043215354317," ",0.228927775060615," "
"129","CrossesMcPh",-0.861714279270407,0.588451053273541,-1.46437715503559,0.14480667454468,"F1","Glucose","HSD","female","Paternal",0.322154174829737," ",0.38677395652579," "
"130","CrossesMhPh",-2.53159698241835,0.532964909382849,-4.75002563555231,4.09675843604857e-06,"F2","Glucose","HSD","female","Parental",3.86265795398865e-05,"***",5.13956967431548e-05,"***"
"131","CrossesMhPc",-2.11688143338171,0.54302659330388,-3.89830159238094,0.000135831564698523,"F2","Glucose","HSD","female","Maternal",0.000747073605841875,"***",0.00110263270167036,"**"
"132","CrossesMcPh",-2.12845995401144,0.538116434547712,-3.95538923801948,0.000109148204805101,"F2","Glucose","HSD","female","Paternal",0.000617466987183145,"***",0.000941403266443999,"***"
"133","CrossesMhPh",-0.114527349747857,0.438625799130588,-0.261104909868195,0.79424423939731,"F3","Glucose","HSD","female","Parental",0.878549493858477," ",0.999986154515138," "
"134","CrossesMhPc",-0.31836785940996,0.439537139723694,-0.724325274560634,0.469599021316429,"F3","Glucose","HSD","female","Maternal",0.673772508845312," ",0.845278238369573," "
"135","CrossesMcPh",-0.710391205517567,0.438730357154963,-1.61919774625181,0.106769158100811,"F3","Glucose","HSD","female","Paternal",0.260991275357539," ",0.309107912263887," "
"136","CrossesMhPh",-108.96,36.0576224026673,-3.02182985841962,0.00322089909382577,"F1","Fitness","HSD","female","Parental",0.013296495619763,"*",0.0190640664470368,"*"
"137","CrossesMhPc",-99.9200000000002,36.0576224026673,-2.77112003903532,0.00670887374965778,"F1","Fitness","HSD","female","Maternal",0.0249014662568102,"*",0.0348551038980874,"*"
